age,capital_gain,capital_loss,hours_per_week,sex_Male,workclass_Private,marital_status_Non_Married,occupation_Other,relationship_Non_Husband,race_White,native_country_US,label,pred_proba,pred_label,shap_age,shap_capital_gain,shap_capital_loss,shap_hours_per_week,shap_sex_Male,shap_workclass_Private,shap_marital_status_Non_Married,shap_occupation_Other,shap_relationship_Non_Husband,shap_race_White,shap_native_country_US
27,0,0,20,1,1,1,1,1,0,1,0,0.26900995,0,-0.017727641,-0.008632276,0.004971445,0.0035606627,0.029202312,0.0031648723,0.06184366,0.033609368,0.043347675,0.013349348,-0.012821198
37,0,0,30,0,1,1,1,1,1,1,0,0.27106288,0,0.001466025,-0.040789884,0.01764741,-0.04218647,-0.0073711644,0.012334064,0.243567,0.08322285,0.05106972,-0.0152578205,0.007188698
50,0,0,40,1,0,0,1,0,1,1,1,0.6131329,1,0.087532274,0.00965042,0.011014897,0.07978783,-0.12381989,0.00011147559,-0.01673321,-0.10416608,-0.0026005208,0.0069554485,0.007035248
25,0,0,40,0,1,1,1,1,1,1,0,0.2694358,0,-0.010010239,0.0020589465,-0.011171169,-0.031624068,0.0064886613,-0.008633516,0.110400654,0.031934932,0.055008747,0.01282245,0.014928867
30,0,0,40,0,1,1,1,1,1,1,0,0.26930618,0,-0.00093044195,-0.013464862,-0.003542564,-0.026461156,0.011426541,-0.0047802837,0.075315386,0.028285446,0.02966772,-0.0026038035,0.0035830715
38,0,0,30,0,1,1,1,1,0,1,0,0.27130112,0,-0.01438857,-0.027654901,0.037354577,0.0081971055,-0.02028665,0.0046988036,0.2168505,0.03201015,0.09256988,-0.015307795,-0.043800868
42,0,0,40,1,0,1,0,1,1,1,0,0.27511632,0,-0.033581465,0.031377904,0.0015244773,-0.08922156,0.085994616,-0.006014179,0.36007124,0.034119867,0.114531755,-0.041893408,0.014757592
37,0,0,40,1,1,1,0,1,0,1,0,0.26978162,0,-0.012377858,0.013222572,-0.0010836317,-0.018467968,0.057325225,-0.011283339,0.124486215,0.0037735193,0.05090369,-0.0022740853,-0.0035561803
23,0,0,30,0,1,1,0,1,1,1,0,0.27020213,0,-0.010535946,9.478419e-06,0.01470982,-0.048227116,-0.003226216,-0.0022289252,0.18768379,0.016908297,0.08294243,-0.015918516,-0.011211803
20,0,0,40,1,1,1,1,1,1,1,0,0.2690243,0,0.004727298,0.005306927,-0.001573863,-0.02453881,0.030672852,0.012094209,0.059540838,0.024880182,0.035713293,-0.0079093035,-0.011744076
42,4687,0,35,0,1,1,1,1,0,1,1,0.2892007,0,0.027750324,0.13405661,0.0033247794,0.02844468,-0.006484686,0.005229927,-0.41269284,-0.06529906,-0.09972081,-0.052451942,0.018323528
43,0,0,38,0,1,1,0,1,1,1,0,0.27966413,0,-0.06689111,-0.048183743,0.011937844,-0.012395017,0.005764328,-0.0062825177,0.30744535,0.031977694,0.076673314,0.01290418,-0.010193055
34,0,0,40,1,1,0,0,0,1,1,0,0.6274859,1,-0.052281633,0.0042475723,0.006762922,-0.0918272,0.13720064,0.007958241,0.0055724606,-0.0064956285,0.0002922304,0.00418856,-0.027250033
30,0,0,45,1,1,1,1,1,1,0,0,0.26895297,0,-0.004749114,0.0017356477,0.0008685874,-0.009319777,0.007781555,0.00062671927,0.013137142,0.0073949164,0.008187595,0.0031090495,0.001310375
39,0,0,40,0,1,1,0,1,1,1,0,0.2714336,0,-0.026065389,0.010779602,0.018659493,-0.004428866,0.0050594606,-0.017510872,0.1669321,-0.007336494,0.02537777,0.024956048,-0.0060728523
40,0,0,63,1,1,0,1,0,1,1,0,0.37161437,0,-0.066238165,-0.01017751,6.0744118e-05,-0.11840667,0.15593888,0.0017695078,-0.0065333387,0.113018624,0.006791469,0.0054339175,-0.0074169105
39,0,0,50,1,1,0,0,0,1,1,1,0.5137519,1,0.0700788,-0.015335055,0.0035681408,0.15820323,-0.19717653,-0.021099003,0.011338677,0.010643918,0.014293032,-0.0012045726,0.004568549
22,0,0,40,1,1,1,0,1,1,0,0,0.26921353,0,0.004918255,-0.0023405221,0.0021930146,-0.05008496,0.0390182,0.0033964557,0.09217851,-0.0030466649,0.053926297,0.012144767,2.0411331e-05
52,0,0,40,1,1,1,1,1,1,1,0,0.2691411,0,-0.029615136,-0.021840442,-0.0032483318,-0.047609147,0.06998279,0.0054386454,0.09642392,0.05077675,0.05788369,-0.008652914,0.0032617832
32,0,0,40,1,1,0,0,0,1,1,0,0.41300043,0,-0.05105267,0.00420483,-0.010202942,-0.091681875,0.1720898,0.019601028,0.014303936,-0.015155049,-0.0012545697,0.012396397,-0.024915041
35,7443,0,40,0,1,1,0,1,1,1,0,0.28691918,0,-0.013451124,-0.078019865,0.011322177,-0.06894917,0.026240896,-0.0048821317,0.3308292,-0.028542522,0.10290797,0.0023352606,-0.012097021
19,0,0,25,0,0,1,1,1,1,1,0,0.26945996,0,0.00055741944,-0.009816424,0.013999887,-0.022704158,0.009646506,-0.007053139,0.12949955,0.051942587,0.056704227,0.011662827,-0.03151574
25,3103,0,50,1,0,0,1,0,1,1,1,0.4218624,0,0.039014887,0.07794684,-0.0055053253,0.12304259,-0.18520305,-0.018081099,0.0013056546,-0.14176528,0.0011826102,0.0067954846,0.020156348
42,0,0,40,1,1,1,1,1,1,1,0,0.26910076,0,-0.008182723,0.0020045866,0.007653976,-0.027778193,0.029032484,0.029717408,0.069470696,0.020957084,0.019149598,-0.0038777273,-0.01401459
