duration,shap_duration,credit_amount,shap_credit_amount,installment_rate,shap_installment_rate,present_residence,shap_present_residence,age,shap_age,number_credits,shap_number_credits,people_liable,shap_people_liable,foreign_worker,shap_foreign_worker,checking_status,shap_checking_status,credit_history,shap_credit_history,purpose,shap_purpose,savings_status,shap_savings_status,employment,shap_employment,personal_status,shap_personal_status,other_parties,shap_other_parties,property_magnitude,shap_property_magnitude,other_payment_plans,shap_other_payment_plans,housing,shap_housing,job,shap_job,own_telephone,shap_own_telephone,label,pred_proba,pred_label
30,-0.03259887,2333,-0.0026056226,4,0.03122856,2,0.03177479,30,0.014928954,1,0.0004219003,1,0.0003158655,1,9.1286376e-05,1,0.010052573,3,0.07333038,4,-0.039834842,4,-0.03826951,5,0.06364351,5,0.11619668,1,0.00013167108,2,-0.02654584,1,-0.093655616,3,0.0137938205,4,0.0090478575,1,0.01933603,1,0.57167226,1
12,0.009134749,1330,-0.00040473044,4,-0.03125988,1,-0.00172114,26,-0.008510432,1,-0.0013840813,1,0.0016430952,1,0.0028538033,4,-0.0754524,3,-0.06511908,1,0.07172203,2,-0.076550364,2,0.0515752,5,-0.10029124,1,0.0009496901,4,-0.06986695,3,-0.0006565694,3,-0.017564084,3,0.00011795852,1,-0.01635856,0,0.655069,1
42,-0.04776955,6289,-0.007974605,2,0.011016168,1,-0.0001585409,33,0.017858397,2,0.0053128153,1,-0.00023245485,1,-0.0006265603,4,0.08791312,2,0.018576095,10,0.042535882,2,0.08382021,2,-0.057374604,1,-0.00031471148,1,0.00014876947,3,-0.084037095,3,0.006590871,3,0.01637092,3,-0.009447164,1,0.019299652,1,0.5473887,1
30,-0.025153777,3832,-0.0019571986,2,0.009920474,1,-0.0003442322,22,0.0037922747,1,-0.0034636436,1,0.001213287,1,-0.0006215265,3,-0.06968443,3,0.06554401,3,0.104078874,2,0.07393751,2,-0.05916453,3,-0.23761791,1,0.002501479,3,-0.07175894,3,0.0032254471,3,0.016882591,3,-0.012487436,1,0.021291535,1,0.4079072,0
24,0.025307845,1371,0.002168227,4,-0.03087113,4,-0.08911092,25,-0.0073027723,1,-0.0005600925,1,0.00073176995,1,-0.00089049595,2,-0.07245512,3,-0.06815354,1,0.07258363,1,0.036925092,3,-0.04010836,2,-0.011807454,1,-0.0011381176,4,-0.078643195,3,-0.0055064242,2,0.036934122,3,0.007616737,1,-0.019248968,0,0.61636996,1
6,-0.002799602,700,0.0002727285,4,0.029306486,4,0.09141163,36,0.022205671,2,0.0029340126,1,9.185821e-05,1,-0.0006174538,1,0.01285913,1,0.004559369,4,-0.034637276,1,-0.039323587,5,0.059148822,5,0.10782887,1,0.00090802624,1,-0.0422082,3,0.0040353825,1,0.03913103,3,-0.0074330224,1,0.017945834,1,0.6267617,1
12,-0.009582905,983,-0.0012145378,1,0.0014616698,4,0.08786541,19,-0.0012712982,1,0.0017638328,1,0.0021549826,1,-0.00063566305,3,-0.07093609,3,0.07072737,3,0.10707518,5,0.06259866,2,-0.054832146,2,0.011031669,1,-0.000984503,4,0.08135741,3,0.0045043128,2,-0.03738387,2,-0.009778333,1,0.01703363,1,0.6245765,1
27,-0.027875688,8318,-0.009973176,2,0.009308424,4,0.0883248,42,0.027716924,2,0.0043022726,1,0.0004358478,1,-0.00021131593,3,-0.0694444,2,0.014646149,10,0.038518656,2,0.076413825,5,0.058647186,2,0.009747082,1,0.0024990216,1,-0.040614996,3,0.0067588263,1,0.040659606,4,0.0053869677,2,0.038563896,1,0.6305857,1
24,-0.025157819,1249,-0.00084989984,4,0.031947464,2,0.030711403,28,0.0107874125,1,0.00046113878,1,-0.0013476312,1,-3.0160882e-05,1,0.0103240255,3,0.07136405,1,-0.07542654,2,0.0806191,2,-0.056607097,3,-0.24255282,1,-0.00030016853,4,0.08337183,3,0.005649843,3,0.014630923,3,-0.006891705,1,0.019087,1,0.4717028,0
7,0.0038636522,730,0.00049401633,4,-0.032798737,2,-0.030966552,46,-0.034309365,2,-0.0048775114,1,-0.0004673656,1,-0.00054572057,1,-0.010512006,1,-0.006859614,4,0.039393358,1,0.039341107,5,-0.062357035,5,-0.1180888,1,0.00018178672,3,0.08262507,3,-0.0063205822,2,0.04047039,2,0.010474788,2,-0.040114075,0,0.56214106,1
12,0.0065054554,3077,0.005989272,2,-0.009454463,4,-0.07145793,52,-0.03470731,1,0.0029713842,1,0.0021865312,1,0.0025061108,1,-0.012229558,3,-0.068868995,4,0.039555337,2,-0.06786002,3,-0.036307283,5,-0.0992794,1,-0.0007883562,2,0.032374114,3,-0.0037806667,3,-0.012385181,3,-0.0028864406,2,-0.04091828,0,0.673659,1
42,0.046460837,7174,0.0088046435,4,-0.031500664,3,-0.06155712,30,-0.014206269,1,0.0006361194,1,-0.0006179111,1,0.00021543354,2,-0.07721682,3,-0.07366565,4,0.039286226,1,0.039758787,4,-0.024173671,2,-0.011493221,1,9.447988e-05,2,0.02653727,3,-0.005688155,3,-0.016451618,4,-0.0077114496,2,-0.040494263,0,0.59702295,1
30,-0.028659724,4249,-0.0053686127,4,0.030165307,2,0.028560102,28,0.008325063,2,0.0057635456,1,-0.00011964142,1,0.00010962598,3,-0.069909915,1,0.011343169,1,-0.0744231,2,0.07517663,1,0.019434696,3,-0.23546675,1,-0.0067956476,2,-0.023691429,3,0.0066019585,3,0.015069258,4,0.011593174,1,0.016040143,1,0.39045605,0
